mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,23.5,21.8,29.5,20.6,
2,52.8,39.5,48.2,35.5,
3,69.0,56.6,64.2,35.7,
4,70.8,62.7,70.1,54.3,
5,76.9,62.6,70.4,40.9,
6,77.0,56.3,57.8,42.7,
7,76.5,56.8,50.3,40.2,
8,76.7,49.2,48.4,39.2,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,24.2,40.0,29.2,48.3,
2,50.0,75.6,55.9,74.5,
3,66.5,80.2,82.6,69.2,
4,86.8,67.8,82.8,55.7,
5,91.5,68.8,90.9,53.5,
6,84.3,56.0,89.7,52.1,
7,89.7,56.8,88.1,50.1,
8,92.0,55.0,84.5,49.2,

