mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.0,37.3,32.0,34.3,
2,67.9,67.0,70.2,72.5,
3,89.5,75.7,78.2,84.4,
4,90.6,90.6,89.9,89.6,
5,91.5,90.9,90.0,89.0,
6,92.0,91.3,89.7,89.6,
7,90.7,90.5,89.4,89.1,
8,90.9,90.5,88.7,87.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.1,38.3,28.4,35.9,
2,61.0,83.1,56.3,62.6,
3,90.2,80.8,85.0,83.3,
4,96.8,96.6,91.6,94.9,
5,96.3,96.2,93.6,93.8,
6,96.1,92.8,85.5,83.3,
7,92.5,95.4,93.8,76.5,
8,89.8,95.2,78.9,87.8,

