mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.7,21.5,29.2,15.9,
2,56.0,38.9,46.5,32.6,
3,67.0,41.3,63.0,35.9,
4,75.7,49.3,68.1,53.2,
5,77.0,62.3,68.8,44.5,
6,76.7,56.4,64.1,44.5,
7,76.7,53.0,44.5,40.2,
8,76.5,53.0,46.4,35.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,39.0,40.1,29.1,45.1,
2,49.3,75.4,54.9,76.0,
3,67.3,82.4,82.4,72.2,
4,81.7,64.3,89.7,62.5,
5,92.3,59.0,82.9,53.1,
6,92.0,59.8,79.3,50.6,
7,88.3,55.2,77.7,49.3,
8,88.0,57.5,84.1,49.8,

