mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,43.8,31.6,41.6,32.3,
2,75.2,78.8,71.1,67.5,
3,89.0,85.2,84.5,86.2,
4,84.9,88.7,88.2,83.5,
5,91.6,91.6,90.8,87.4,
6,91.0,91.3,88.2,88.3,
7,90.9,91.5,89.3,88.5,
8,90.6,90.5,88.6,88.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,32.1,27.2,30.2,30.2,
2,55.8,64.1,61.3,59.1,
3,89.5,79.9,86.1,84.8,
4,96.7,96.6,91.7,90.2,
5,92.2,96.5,84.6,86.3,
6,86.9,96.1,92.3,93.5,
7,84.6,97.0,93.1,84.7,
8,82.6,83.9,80.2,86.9,

