mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.8,35.1,34.1,33.6,
2,73.1,63.8,69.4,65.9,
3,83.9,88.7,82.4,80.6,
4,91.7,91.6,88.9,86.9,
5,91.6,91.1,88.3,89.8,
6,91.4,91.1,89.0,89.9,
7,91.0,90.8,88.6,88.7,
8,90.1,90.5,88.2,88.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.9,28.1,47.6,27.0,
2,64.1,58.9,58.2,73.9,
3,84.4,84.6,85.2,87.6,
4,96.3,96.4,90.4,89.3,
5,95.3,95.7,94.0,94.5,
6,95.9,96.1,84.2,92.8,
7,81.6,95.7,74.5,79.9,
8,94.6,95.2,88.9,80.6,

