mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.6,21.8,28.8,18.2,
2,50.1,33.0,50.4,34.5,
3,52.8,51.4,53.0,49.1,
4,74.8,68.1,67.5,50.1,
5,75.2,64.1,59.8,42.8,
6,75.7,58.6,60.3,45.4,
7,76.4,55.9,56.9,35.1,
8,74.1,47.2,40.7,39.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,26.6,51.0,25.2,38.5,
2,53.2,76.6,76.5,72.3,
3,67.2,82.0,84.2,71.4,
4,84.8,67.3,85.5,58.2,
5,90.7,58.8,90.7,52.7,
6,91.8,56.7,90.1,50.4,
7,92.2,55.8,86.6,50.4,
8,92.2,54.3,88.5,49.6,

