mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.5,20.0,30.3,18.2,
2,54.3,36.0,45.1,35.0,
3,66.3,46.4,60.5,40.7,
4,76.1,52.9,68.8,51.3,
5,77.0,62.2,68.6,40.9,
6,76.7,54.9,58.8,44.3,
7,76.9,49.2,52.6,42.4,
8,76.6,47.6,46.1,35.4,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,26.4,52.9,31.0,36.7,
2,54.2,74.0,56.0,74.3,
3,67.8,83.4,79.2,71.1,
4,84.2,69.7,85.6,57.0,
5,89.7,65.3,89.8,53.8,
6,86.6,59.0,78.1,51.3,
7,92.4,56.0,89.4,50.5,
8,92.1,55.1,83.8,49.3,

