mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.6,35.5,32.5,31.7,
2,65.3,79.3,69.6,76.2,
3,78.3,89.6,84.7,74.9,
4,91.6,89.5,83.2,83.1,
5,91.7,90.5,90.2,89.6,
6,91.0,91.3,89.3,90.3,
7,90.8,90.9,88.9,89.1,
8,90.6,90.6,87.7,88.2,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.4,39.6,32.2,41.4,
2,60.6,68.2,64.3,67.7,
3,79.1,87.1,85.6,89.7,
4,96.7,96.2,92.7,89.1,
5,96.5,96.9,86.8,87.4,
6,95.8,96.1,93.5,84.0,
7,95.4,95.7,79.3,83.4,
8,89.8,95.2,92.5,73.0,

