mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,26.8,19.3,24.7,19.6,
2,50.7,33.9,47.8,28.1,
3,63.5,54.1,62.3,50.8,
4,74.6,65.0,60.2,43.6,
5,76.3,58.5,62.8,48.8,
6,75.8,54.7,60.7,43.6,
7,74.2,50.1,56.6,30.5,
8,76.5,48.1,54.3,31.8,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,33.9,43.2,24.0,46.8,
2,53.8,66.6,69.6,75.5,
3,76.7,82.8,76.3,64.7,
4,88.4,65.8,89.0,54.3,
5,92.1,59.0,90.7,52.5,
6,92.1,59.4,90.1,51.6,
7,92.0,59.5,89.8,50.0,
8,92.0,54.9,88.8,50.3,

