mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.9,21.3,25.3,20.4,
2,51.8,39.1,43.2,34.3,
3,71.1,49.8,63.8,47.4,
4,74.9,67.4,69.5,53.4,
5,74.9,52.2,69.3,48.4,
6,75.8,53.2,59.2,44.5,
7,76.7,53.8,54.2,42.3,
8,76.7,46.1,44.7,29.3,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,34.5,52.9,33.7,41.0,
2,48.8,74.5,60.7,75.3,
3,69.0,79.0,75.9,71.4,
4,90.9,71.8,84.2,62.6,
5,92.2,64.6,80.6,52.1,
6,92.8,57.1,78.4,50.7,
7,87.8,56.0,89.6,49.1,
8,90.7,55.4,85.9,49.7,

