mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.6,18.9,27.1,17.9,
2,52.8,34.7,46.5,32.6,
3,70.8,56.0,63.2,40.5,
4,75.5,60.1,65.5,41.0,
5,75.2,55.6,70.7,42.3,
6,76.2,56.5,55.7,40.1,
7,76.7,50.7,50.6,40.3,
8,76.7,43.3,45.4,40.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.6,52.2,25.5,44.8,
2,55.4,79.5,62.7,65.2,
3,68.6,81.5,75.0,71.9,
4,90.0,70.1,88.7,61.0,
5,92.1,62.9,90.0,53.3,
6,92.3,57.0,88.2,50.9,
7,91.7,55.6,88.9,49.9,
8,91.8,53.9,89.1,49.9,

