mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.0,20.2,27.6,18.9,
2,51.2,29.3,50.6,34.3,
3,67.5,57.0,61.2,47.0,
4,74.1,58.1,65.9,46.7,
5,74.5,53.4,68.4,38.8,
6,75.1,55.3,61.5,43.7,
7,75.1,48.7,55.0,39.7,
8,74.9,47.3,44.5,37.0,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.4,47.6,27.8,35.3,
2,65.0,80.8,50.9,74.8,
3,78.7,76.3,86.7,70.9,
4,86.8,64.7,89.2,58.3,
5,92.1,62.8,90.1,52.5,
6,91.7,56.5,88.5,51.6,
7,92.6,58.0,89.7,50.7,
8,91.8,55.5,89.3,48.8,

