mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.2,19.3,27.6,20.8,
2,52.7,35.0,45.0,36.0,
3,67.3,48.6,58.2,41.8,
4,75.2,61.4,65.8,49.9,
5,75.9,61.5,67.4,48.0,
6,75.1,56.4,62.6,42.3,
7,76.1,51.4,50.0,40.0,
8,76.5,49.1,46.0,29.8,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.2,49.8,23.5,41.2,
2,60.7,71.9,76.0,73.3,
3,73.2,82.0,79.6,68.8,
4,86.5,68.6,84.5,57.3,
5,92.2,61.9,90.7,57.1,
6,92.3,56.8,90.9,51.5,
7,92.1,58.0,90.0,50.0,
8,92.0,58.2,85.4,49.1,

