mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.5,23.3,19.3,18.6,
2,55.1,29.5,51.1,33.1,
3,72.2,52.4,60.9,44.0,
4,74.8,59.9,64.8,52.9,
5,76.3,62.9,65.5,48.0,
6,76.1,56.3,57.9,44.5,
7,76.9,51.3,50.0,42.2,
8,76.0,47.9,54.5,36.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,36.4,47.5,26.1,53.1,
2,70.0,66.8,75.3,81.7,
3,77.9,78.7,81.1,68.3,
4,87.6,69.2,87.7,55.5,
5,91.1,57.2,87.7,52.9,
6,91.8,57.0,87.4,51.0,
7,92.0,55.8,89.3,49.8,
8,92.0,54.4,88.0,48.4,

