mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.1,20.8,27.6,20.6,
2,56.7,29.2,46.4,30.5,
3,60.7,39.9,62.8,46.7,
4,57.7,52.1,68.2,44.4,
5,74.9,59.0,71.8,42.7,
6,75.7,61.9,71.1,38.6,
7,76.8,50.7,47.8,32.1,
8,75.8,48.4,48.8,38.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.9,49.7,23.9,43.3,
2,50.5,79.0,76.0,73.8,
3,67.5,82.8,82.8,72.2,
4,85.3,66.9,87.3,58.1,
5,91.5,63.6,90.2,54.1,
6,92.0,58.3,87.8,51.4,
7,92.0,58.8,84.6,50.1,
8,87.9,54.7,88.2,49.3,

