mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,43.9,31.0,37.4,35.5,
2,68.4,68.0,72.4,54.9,
3,89.2,88.6,78.6,82.0,
4,89.4,91.3,88.4,89.1,
5,90.9,90.8,89.3,89.8,
6,90.0,90.7,88.7,87.4,
7,89.3,90.4,88.7,88.0,
8,89.8,90.2,88.6,88.3,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,34.8,42.5,32.0,41.1,
2,68.7,60.8,65.2,58.1,
3,85.7,79.6,82.2,91.2,
4,95.2,96.5,87.2,95.2,
5,96.0,96.4,92.4,81.2,
6,95.3,95.9,83.1,91.1,
7,86.7,92.1,94.5,92.8,
8,94.9,95.2,76.4,91.1,

