mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,32.3,29.6,42.5,34.7,
2,75.1,73.5,71.0,66.7,
3,84.6,89.2,85.7,84.6,
4,91.7,90.3,89.9,83.0,
5,91.1,92.2,91.0,89.2,
6,91.1,91.2,89.4,87.9,
7,91.0,90.5,88.7,89.2,
8,90.5,90.5,88.5,88.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.4,33.7,43.9,27.9,
2,62.0,59.9,66.1,85.1,
3,81.6,92.2,84.9,84.8,
4,96.3,96.1,92.3,88.3,
5,96.5,96.3,86.0,82.5,
6,95.7,96.1,81.8,92.0,
7,95.7,85.4,80.2,92.9,
8,82.1,95.2,92.7,93.0,

