mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.4,18.9,28.4,19.2,
2,52.3,39.0,48.7,34.4,
3,68.3,42.4,61.0,31.8,
4,72.0,64.2,66.6,40.1,
5,60.6,61.0,66.5,41.2,
6,75.4,58.9,48.2,24.6,
7,70.3,51.3,47.5,38.3,
8,75.9,47.3,45.9,35.7,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,38.4,46.9,37.9,41.1,
2,72.0,75.8,58.2,72.9,
3,75.2,77.8,84.6,71.3,
4,89.2,67.3,90.2,56.7,
5,91.1,60.1,89.6,52.9,
6,92.2,56.6,90.5,51.8,
7,92.0,58.8,89.2,50.6,
8,91.9,55.0,89.1,50.2,

