mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,42.0,35.6,32.5,35.6,
2,76.3,66.7,61.2,63.2,
3,76.0,74.3,86.1,62.9,
4,88.9,91.4,89.2,82.1,
5,90.1,88.8,89.0,88.1,
6,90.4,80.8,85.4,89.2,
7,89.3,90.6,89.0,88.3,
8,90.2,90.4,89.2,86.3,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.5,29.2,37.1,37.3,
2,69.4,59.3,69.1,61.1,
3,84.2,84.9,86.1,85.6,
4,94.8,95.8,94.1,89.1,
5,96.4,94.0,79.3,94.4,
6,95.9,96.1,72.2,94.9,
7,95.0,95.5,89.6,93.8,
8,95.2,94.9,70.4,87.8,

