mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.2,35.9,34.0,36.1,
2,64.3,66.6,66.0,68.3,
3,88.3,78.9,83.1,85.8,
4,91.3,91.2,89.2,89.0,
5,92.0,91.2,87.2,88.6,
6,90.9,91.6,89.3,88.9,
7,90.7,91.0,88.9,89.2,
8,90.5,90.5,88.0,88.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,35.6,27.8,32.2,33.2,
2,60.5,61.7,68.9,57.5,
3,80.1,77.6,80.9,87.3,
4,96.5,96.6,95.0,91.2,
5,93.9,95.8,91.5,86.2,
6,86.6,96.1,87.9,81.5,
7,79.2,88.8,77.8,93.3,
8,96.1,92.8,82.0,73.1,

