mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.2,21.3,25.1,20.3,
2,53.8,36.2,49.1,33.8,
3,69.9,46.8,63.6,50.9,
4,71.6,46.9,68.6,40.0,
5,76.5,64.7,68.3,46.2,
6,76.8,59.8,68.1,42.8,
7,76.4,52.4,57.9,40.5,
8,76.7,47.4,52.8,39.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,33.0,44.0,35.0,49.8,
2,46.1,72.9,45.7,75.5,
3,64.0,83.3,78.0,69.7,
4,89.3,67.6,82.8,58.0,
5,91.9,59.4,90.2,53.0,
6,92.6,58.2,85.9,51.5,
7,92.0,56.5,80.0,49.8,
8,92.0,55.4,86.3,49.3,

