mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.8,17.9,30.1,17.1,
2,56.5,40.6,46.3,33.8,
3,64.1,40.0,60.3,45.1,
4,75.2,59.3,65.5,50.4,
5,75.3,64.8,65.3,39.8,
6,76.9,56.3,63.7,43.7,
7,76.8,51.2,52.6,41.9,
8,76.6,48.8,36.9,34.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.4,41.4,24.0,46.7,
2,51.5,74.0,59.8,76.4,
3,73.1,78.3,82.3,71.1,
4,85.9,72.0,85.7,57.9,
5,89.5,64.5,90.5,52.3,
6,92.1,57.3,79.7,51.7,
7,92.1,63.2,76.6,49.8,
8,86.6,54.7,86.4,49.6,

