mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,37.8,38.9,35.6,32.3,
2,68.7,64.2,75.6,72.6,
3,82.5,79.5,79.1,82.3,
4,89.0,90.9,86.2,87.0,
5,90.4,90.8,89.0,90.5,
6,90.4,90.8,90.3,89.3,
7,91.5,90.4,89.3,89.1,
8,90.4,90.4,88.3,86.0,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.0,42.0,29.1,34.3,
2,65.5,81.4,66.0,62.8,
3,89.5,88.3,83.8,83.7,
4,93.3,96.1,84.1,95.1,
5,89.4,95.8,93.0,94.8,
6,94.5,95.7,81.9,91.8,
7,95.3,93.0,74.0,93.2,
8,78.7,93.9,65.9,90.0,

