mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.0,23.0,29.3,21.9,
2,53.8,39.6,47.3,32.6,
3,70.7,40.7,61.8,43.9,
4,73.5,61.9,68.0,43.4,
5,75.0,64.8,63.9,35.5,
6,77.0,55.3,66.2,41.4,
7,76.4,49.8,52.7,39.3,
8,76.7,48.5,51.5,39.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.4,45.7,28.2,48.5,
2,60.9,77.3,64.7,72.0,
3,64.8,81.2,86.8,72.1,
4,86.5,64.5,90.2,58.5,
5,92.3,60.8,90.2,53.0,
6,92.0,57.9,90.2,52.3,
7,90.6,54.8,89.8,49.6,
8,92.2,54.3,87.1,49.8,

