mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,37.3,39.9,32.9,42.8,
2,68.0,79.7,63.1,63.1,
3,84.3,90.1,85.4,87.5,
4,90.2,90.6,89.5,89.7,
5,91.2,91.0,88.8,86.0,
6,91.4,91.2,89.1,89.8,
7,90.9,90.7,89.0,89.2,
8,90.6,90.2,88.1,88.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.4,32.4,34.9,27.8,
2,62.4,56.2,60.3,60.3,
3,81.1,83.7,85.8,81.1,
4,96.3,96.1,91.3,93.9,
5,95.4,95.6,95.3,86.9,
6,96.0,95.9,89.7,93.8,
7,93.0,95.7,93.1,77.8,
8,84.8,95.2,78.3,81.7,

