mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,33.1,28.9,37.8,35.8,
2,66.9,48.1,55.9,49.5,
3,81.5,77.3,80.1,76.4,
4,90.9,88.5,89.3,86.4,
5,91.0,90.7,88.7,88.1,
6,90.3,90.9,89.0,88.3,
7,90.6,90.8,86.6,88.6,
8,90.1,90.2,86.5,87.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.9,31.8,54.2,31.6,
2,65.8,67.5,64.6,58.4,
3,88.5,84.9,87.7,83.5,
4,96.2,96.3,82.0,94.2,
5,96.4,95.9,93.8,93.5,
6,79.4,96.0,83.0,91.8,
7,73.1,93.8,75.5,85.1,
8,83.0,81.2,85.9,79.6,

