mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.0,20.8,28.9,16.9,
2,50.9,38.3,48.6,38.2,
3,70.7,52.7,63.1,48.3,
4,74.4,57.3,66.6,42.3,
5,75.0,67.8,66.9,44.8,
6,75.5,56.7,54.7,40.2,
7,75.6,52.5,51.0,34.0,
8,75.4,47.9,50.4,32.8,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,34.0,45.8,25.5,47.6,
2,67.4,75.5,52.2,77.7,
3,81.2,77.5,85.8,67.3,
4,81.5,72.4,90.7,60.7,
5,90.9,61.6,90.5,53.3,
6,91.8,56.8,89.8,51.6,
7,91.9,57.9,89.2,50.3,
8,91.6,55.1,88.6,49.0,

