mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.0,20.6,25.2,18.8,
2,48.5,38.4,47.0,26.2,
3,67.7,33.1,56.7,45.7,
4,74.7,58.7,67.6,50.2,
5,75.9,63.4,69.7,49.4,
6,76.0,57.2,63.3,43.2,
7,76.2,50.2,55.3,41.1,
8,76.4,48.3,48.3,34.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,34.1,46.5,24.5,49.1,
2,69.6,79.5,68.2,74.8,
3,66.8,84.0,87.2,71.4,
4,85.0,68.2,89.5,56.7,
5,91.7,60.7,90.1,52.7,
6,92.3,59.0,88.3,50.4,
7,92.5,56.6,85.9,49.7,
8,92.0,54.7,86.5,49.7,

