mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.8,17.5,27.8,18.9,
2,57.1,31.7,44.4,21.9,
3,68.0,38.8,63.1,48.3,
4,74.1,45.9,66.0,47.1,
5,73.9,46.9,67.9,43.0,
6,75.2,60.2,62.2,37.9,
7,74.7,50.1,55.2,32.6,
8,75.9,46.8,50.2,39.0,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.5,39.0,32.3,47.3,
2,46.5,75.9,57.6,75.5,
3,79.9,79.4,83.8,67.7,
4,88.9,70.8,89.9,58.3,
5,91.1,67.6,90.0,53.1,
6,91.8,57.8,88.9,51.5,
7,92.1,55.0,89.9,50.2,
8,91.7,54.4,89.5,47.3,

