mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.3,20.5,18.6,20.7,
2,48.8,39.2,50.4,35.9,
3,70.3,58.2,62.6,47.4,
4,73.0,62.2,67.3,54.8,
5,76.5,52.9,61.6,48.6,
6,75.1,58.4,61.7,43.2,
7,76.2,52.0,48.1,40.5,
8,76.5,47.3,52.5,39.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,26.5,44.2,25.3,47.8,
2,50.2,76.0,55.7,78.6,
3,71.0,75.5,75.9,71.7,
4,87.9,68.5,84.1,58.4,
5,92.1,58.8,90.4,51.5,
6,91.8,57.3,90.0,50.9,
7,92.2,56.6,84.4,50.0,
8,91.7,54.5,86.7,48.3,

