mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.2,19.0,27.4,17.7,
2,57.7,40.6,49.5,30.1,
3,71.0,40.5,67.5,45.6,
4,73.0,67.6,67.1,43.1,
5,76.3,58.6,61.8,48.3,
6,76.7,52.8,59.7,38.8,
7,76.2,52.0,46.4,40.6,
8,76.1,47.5,48.8,36.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,32.3,39.6,28.8,50.8,
2,55.5,63.0,58.1,66.4,
3,66.9,79.2,81.4,69.1,
4,90.9,65.9,90.0,57.3,
5,92.1,59.2,90.8,53.1,
6,91.9,61.2,81.6,51.5,
7,92.5,55.1,77.7,50.7,
8,90.8,55.3,88.4,49.1,

