mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.3,20.6,27.3,18.1,
2,48.6,36.5,52.8,26.7,
3,65.5,54.5,61.5,43.8,
4,73.1,62.2,64.4,54.1,
5,76.5,65.1,69.4,40.4,
6,76.8,57.8,67.5,42.2,
7,76.6,53.3,54.1,42.0,
8,76.5,47.7,53.2,34.8,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,20.2,40.7,27.4,43.0,
2,54.5,77.2,59.1,77.4,
3,73.5,82.6,83.3,70.7,
4,83.7,67.1,85.3,60.5,
5,89.6,59.8,81.2,52.6,
6,91.8,58.0,89.7,51.0,
7,92.0,55.3,83.0,50.0,
8,90.6,54.7,76.9,49.4,

