mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,32.4,19.1,28.4,17.7,
2,55.7,33.2,51.2,27.6,
3,67.7,40.3,59.7,42.4,
4,74.7,60.7,60.9,49.5,
5,76.4,55.1,67.1,45.3,
6,76.4,57.5,59.6,35.4,
7,76.9,49.8,48.2,38.7,
8,76.1,46.5,41.6,39.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,23.7,43.0,28.0,42.1,
2,47.9,73.3,76.9,77.2,
3,65.9,77.3,84.0,68.5,
4,85.4,68.6,90.0,58.3,
5,91.4,64.5,90.9,52.9,
6,92.5,57.0,90.2,51.5,
7,92.0,62.4,89.6,50.1,
8,88.0,54.8,89.1,49.3,

